id;modalidad_permiso;created_at;updated_at
3541;radiocomunicacion_banda_angosta;2016-02-15 19:35:41.053;2016-02-15 19:35:41.053
3542;radiocomunicacion_banda_angosta;2016-02-15 19:39:46.743;2016-02-15 19:39:46.743
3543;radiocomunicacion_banda_angosta;2016-02-15 19:43:35.977;2016-02-15 19:43:35.977
3544;radiocomunicacion_banda_angosta;2016-02-15 19:52:25.370;2016-02-15 19:52:25.370
3545;radiocomunicacion_banda_angosta;2016-02-15 19:54:12.133;2016-02-15 19:54:12.133
3546;radiocomunicacion_banda_angosta;2016-02-15 19:56:31.917;2016-02-15 19:56:31.917
3548;radiocomunicacion_banda_angosta;2016-02-15 20:06:00.357;2016-02-15 20:06:00.357
3549;radiocomunicacion_banda_aeronautica;2016-02-15 20:15:12.823;2016-02-15 20:15:12.823
3550;radiocomunicacion_banda_aeronautica;2016-02-15 20:26:09.247;2016-02-15 20:26:09.247
3551;radiocomunicacion_banda_aeronautica;2016-02-15 20:40:31.297;2016-02-15 20:40:31.297
3552;radiocomunicacion_banda_angosta;2016-02-15 20:56:18.423;2016-02-15 20:56:18.423
3553;radiocomunicacion_banda_aeronautica;2016-02-15 21:00:41.487;2016-02-15 21:00:41.487
3554;radiocomunicacion_banda_angosta;2016-02-15 21:07:59.910;2016-02-15 21:07:59.910
3555;radiocomunicacion_banda_angosta;2016-02-15 21:09:48.487;2016-02-15 21:09:48.487
3556;radiocomunicacion_banda_angosta;2016-02-15 21:34:28.117;2016-02-15 21:34:28.117
3557;radiocomunicacion_banda_angosta;2016-02-15 21:42:03.287;2016-02-15 21:42:03.287
3558;radiocomunicacion_banda_angosta;2016-02-15 21:45:30.210;2016-02-15 21:45:30.210
3559;radiocomunicacion_banda_aeronautica;2016-02-16 14:35:15.047;2016-02-16 14:35:15.047
3560;radiocomunicacion_banda_aeronautica;2016-02-16 14:40:25.983;2016-02-16 14:40:25.983
3562;radiocomunicacion_banda_aeronautica;2016-02-16 14:41:33.640;2016-02-16 14:41:33.640
3564;radiocomunicacion_banda_aeronautica;2016-02-16 14:50:18.470;2016-02-16 14:50:18.470
3565;radioaficionado;2016-02-16 14:52:44.173;2016-02-16 14:52:44.173
3566;radioaficionado;2016-02-16 14:59:15.063;2016-02-16 14:59:15.063
3567;radiocomunicacion_banda_aeronautica;2016-02-16 14:59:52.597;2016-02-16 14:59:52.597
3568;radiocomunicacion_banda_angosta;2016-02-16 15:00:45.377;2016-02-16 15:00:45.377
3569;radiocomunicacion_banda_angosta;2016-02-16 15:02:16.673;2016-02-16 15:02:16.673
3570;radioaficionado;2016-02-16 15:07:20.723;2016-02-16 15:07:20.723
3571;radioaficionado;2016-02-16 15:13:49.863;2016-02-16 15:13:49.863
3572;radiocomunicacion_banda_angosta;2016-02-16 15:16:19.487;2016-02-16 15:16:19.487
3573;radioaficionado;2016-02-16 15:20:03.190;2016-02-16 15:20:03.190
3574;radioaficionado;2016-02-16 15:27:10.083;2016-02-16 15:27:10.083
3575;radioaficionado;2016-02-16 15:34:27.757;2016-02-16 15:34:27.757
3576;radioaficionado;2016-02-16 15:39:52.460;2016-02-16 15:39:52.460
3577;radioaficionado;2016-02-16 15:46:42.367;2016-02-16 15:46:42.367
3578;radiocomunicacion_banda_angosta;2016-02-16 15:49:01.883;2016-02-16 15:49:01.883
3579;radioaficionado;2016-02-16 15:52:00.930;2016-02-16 15:52:00.930
3580;radiocomunicacion_banda_angosta;2016-02-16 15:53:22.040;2016-02-16 15:53:22.040
3581;radiocomunicacion_banda_angosta;2016-02-16 15:54:53.837;2016-02-16 15:54:53.837
3582;radiocomunicacion_banda_angosta;2016-02-16 15:56:39.180;2016-02-16 15:56:39.180
3583;radiocomunicacion_banda_angosta;2016-02-16 15:57:23.697;2016-02-16 15:57:23.697
3584;radiocomunicacion_banda_angosta;2016-02-16 15:58:08.197;2016-02-16 15:58:08.197
3585;radiocomunicacion_banda_angosta;2016-02-16 15:59:35.040;2016-02-16 15:59:35.040
3586;radiocomunicacion_banda_aeronautica;2016-02-16 16:00:31.070;2016-02-16 16:00:31.070
3587;radioaficionado;2016-02-16 16:14:23.933;2016-02-16 16:14:23.933
3588;radioaficionado;2016-02-16 16:26:02.277;2016-02-16 16:26:02.277
3589;radioaficionado;2016-02-16 16:33:25.840;2016-02-16 16:33:25.840
3590;radiocomunicacion_banda_angosta;2016-02-16 16:46:31.890;2016-02-16 16:46:31.890
3591;radiocomunicacion_banda_angosta;2016-02-16 16:52:49.140;2016-02-16 16:52:49.140
3592;radiocomunicacion_banda_angosta;2016-02-16 16:53:39.670;2016-02-16 16:53:39.670
3593;radiocomunicacion_banda_angosta;2016-02-16 16:54:31.373;2016-02-16 16:54:31.373
3594;radiocomunicacion_banda_marina;2016-02-16 17:02:55.453;2016-02-16 17:02:55.453
