id;precio_interconexion;created_at;updated_at;acuerdo_acceso_interconexions_id;sci_servicios_id;servicio
245;42.00;2016-02-11 15:09:36.440;2016-02-11 15:09:36.440;48;18;PATCH CORD DESDE E-DIAY HASTA EL DDF EN EL MMR, CUOTA DE INSTALACION PRECIO EN DOLARES, 502. CARGO RECURRENTE MENSUAL POR E1 PRECIO EN DOLARES, 42.
246;0.00;2016-02-11 15:09:36.440;2016-02-11 15:09:36.440;48;18;CONFIGURACION DEL PUERTO DE CONMUTACION POR POI, CUOTA DE INSTALACION PRECIO EN DOLARES, 5400. CARGO RECURRENTE MENSUAL POR E1 PRECIO EN DOLARES, 0.
249;NULL;2016-02-11 19:38:59.147;2016-02-11 19:38:59.147;51;18;
250;35.00;2016-02-11 20:14:55.203;2016-02-11 20:14:55.203;52;18;Precios en US dólares: Enlaces con dos hilos de fibra óptica oscura pagaderos por mes vencido
263;16.00;2016-02-19 17:04:28.030;2016-02-19 17:04:28.030;55;18;USO DE ESPACIO EN LA ESTACION UNQUI PARA UBICACION DE EQUIPOS PARA PRESTACION DE SERVICIOS DE TELECOMUNICACIONES. PRECIO MENSUAL EN DOLARES, $15.987.52
264;7.00;2016-02-19 17:04:28.030;2016-02-19 17:04:28.030;55;18;CIRCUITO ELECTRICO DE 150Amp AC (TOTAL 300Amp). PRECIO MENSUA EN DOLARES, $7.267.50
265;7.00;2016-02-19 17:04:28.030;2016-02-19 17:04:28.030;55;18;USO COMPARTIDO EN DUCTERIA ICE, PRECIO MENSUAL EN DOLARES. $6.607.36
266;5.00;2016-02-19 17:04:28.030;2016-02-19 17:04:28.030;55;18;USO COMPARTIDO ESPACIO EN PORTERIA ICE, PRECIO MENSUAL EN DOLARES. $4.81
267;3.00;2016-02-19 17:04:28.047;2016-02-19 17:04:28.047;55;18;ALQUILER ESPACIO PARA BODEGA, CARRETES, EQUIPO Y MATERIALES, PRECIO MENSUAL EN DOLARES. $3.128.55
268;3.00;2016-02-19 17:04:28.047;2016-02-19 17:04:28.047;55;18;ALQUILER ESPACIO EN INSTALACION ICE USO ADMINISTRATIVO, PRECIO MENSUAL EN DOLARES. $2.850.
269;NULL;2016-02-22 15:45:04.903;2016-02-22 15:45:04.903;56;18;
270;24700.00;2016-03-18 20:42:45.690;2016-03-18 20:42:45.690;57;18;De conformidad con la clausula tercera del contrato los servicios se encuentran especificados en el añexo A. Precio establecido en moneda local de los Estados Unidos de América
271;1000.00;2016-03-18 20:42:45.707;2016-03-18 20:42:45.707;57;18;De conformidad con la clausula tercera del contrato los servicios se encuentran especificados en el añexo A. Precio establecido en moneda local de los Estados Unidos de América.
296;4.00;2016-03-18 20:53:45.990;2016-03-18 20:53:45.990;61;18;Precio por minuto en colones: Uso de red fija para terminación de tráfico 
297;18.00;2016-03-18 20:53:45.990;2016-03-18 20:53:45.990;61;18;Precio por minuto en colones: Uso de red móvil para terminación de tráfico
298;4.00;2016-03-18 20:53:46.003;2016-03-18 20:53:46.003;61;18;Precio por minuto en colones: Uso de red fija para originación de tráfico
