id;numero_publicacion_gaceta;fecha_publicacion_gaceta;tipo_red;created_at;updated_at;fecha_vencimiento
496;247;2009-12-22;publica;2015-12-23 19:51:06.757;2015-12-23 19:51:06.757;2019-11-26
498;163;2014-08-26;publica;2015-12-23 19:59:52.460;2015-12-23 19:59:52.460;2024-08-14
499;247;2009-12-21;publica;2015-12-23 20:02:40.960;2015-12-23 20:02:40.960;2019-11-26
500;134;2009-07-13;publica;2015-12-23 20:02:53.587;2015-12-23 20:02:53.587;2019-07-02
501;40;2010-02-26;publica;2015-12-23 20:03:32.197;2015-12-23 20:03:32.197;2020-02-05
505;126;2015-07-01;publica;2015-12-23 20:20:39.963;2015-12-23 20:20:39.963;2025-06-18
506;123;2013-06-27;publica;2015-12-23 20:21:41.197;2015-12-23 20:21:41.197;2023-03-21
507;180;2009-09-16;publica;2015-12-23 20:22:20.633;2015-12-23 20:22:20.633;2019-09-03
508;000;0001-01-01;publica;2015-12-23 20:23:02.387;2015-12-23 20:23:02.387;2023-06-27
509;74;2010-04-19;publica;2015-12-23 21:07:31.077;2015-12-23 21:07:31.077;2020-04-06
511;148;2015-07-31;publica;2015-12-23 21:08:12.217;2015-12-23 21:08:12.217;2025-07-16
512;134;2009-07-13;publica;2015-12-23 21:08:33.890;2015-12-23 21:08:33.890;2019-07-01
517;207;2009-10-26;privada;2016-01-08 21:44:23.880;2016-01-08 21:44:23.880;NULL
518;207;2009-10-26;publica;2016-01-11 14:22:37.753;2016-01-11 14:22:37.753;NULL
520;207;2009-10-26;privada;2016-01-11 14:24:32.347;2016-01-11 14:24:32.347;2019-10-07
521;207;2009-10-26;privada;2016-01-11 14:29:13.847;2016-01-11 14:29:13.847;NULL
522;207;2009-10-26;privada;2016-01-11 14:36:42.580;2016-01-11 14:36:42.580;2019-11-02
523;207;2009-10-26;privada;2016-01-11 14:37:49.800;2016-01-11 14:37:49.800;2019-10-29
525;207;2009-10-26;privada;2016-01-11 14:40:02.067;2016-01-11 14:40:02.067;2019-10-07
526;207;2009-10-26;privada;2016-01-11 14:43:31.957;2016-01-11 14:43:31.957;2019-11-06
527;207;2009-10-26;privada;2016-01-11 14:55:14.223;2016-01-11 14:55:14.223;NULL
530;207;2009-10-26;privada;2016-01-11 15:03:22.273;2016-01-11 15:03:22.273;NULL
531;207;2009-10-26;privada;2016-01-11 15:04:16.070;2016-01-11 15:04:16.070;2019-10-26
532;207;2009-10-26;privada;2016-01-11 15:20:36.773;2016-01-11 15:20:36.773;2019-10-02
533;207 ;2009-10-26;privada;2016-01-11 15:23:02.023;2016-01-11 15:23:02.023;2019-10-02
534;207;2009-10-26;privada;2016-01-11 15:23:37.527;2016-01-11 15:23:37.527;NULL
535;207;2009-10-26;privada;2016-01-11 15:23:41.383;2016-01-11 15:23:41.383;2014-10-06
536;207;2009-10-26;privada;2016-01-11 16:01:00.687;2016-01-11 16:01:00.687;2019-10-22
537;207;2009-10-26;privada;2016-01-11 16:14:00.093;2016-01-11 16:14:00.093;2019-10-05
538;207;2009-10-26;privada;2016-01-11 16:15:46.547;2016-01-11 16:15:46.547;2019-10-05
540;207;2009-10-26;privada;2016-01-11 16:27:46.687;2016-01-11 16:27:46.687;2019-10-20
541;207;2009-10-26;publica;2016-01-11 16:31:03.470;2016-01-11 16:31:03.470;2019-10-02
543;207;2009-10-26;privada;2016-01-11 16:42:16.863;2016-01-11 16:42:16.863;NULL
544;207;2009-10-26;privada;2016-01-11 16:46:39.613;2016-01-11 16:46:39.613;NULL
545;207;2009-10-26;privada;2016-01-11 17:01:47.443;2016-01-11 17:01:47.443;2019-10-13
546;207;2009-10-26;privada;2016-01-11 17:07:06.647;2016-01-11 17:07:06.647;2019-11-24
547;207;2009-10-26;privada;2016-01-11 17:32:06.447;2016-01-11 17:32:06.447;2019-10-14
549;207;2009-10-26;privada;2016-01-11 17:45:12.917;2016-01-11 17:45:12.917;2019-10-05
551;207;2009-10-26;privada;2016-01-11 17:49:15.120;2016-01-11 17:49:15.120;2020-02-23
552;207;2009-10-26;privada;2016-01-11 17:55:39.213;2016-01-11 17:55:39.213;NULL
553;207;2009-10-26;privada;2016-01-11 17:56:13.107;2016-01-11 17:56:13.107;2020-01-08
555;207;2009-10-26;privada;2016-01-11 18:05:29.903;2016-01-11 18:05:29.903;2020-03-25
556;207;2009-10-26;privada;2016-01-11 19:29:46.897;2016-01-11 19:29:46.897;NULL
557;207;2009-10-26;privada;2016-01-11 19:33:38.990;2016-01-11 19:33:38.990;2019-11-06
558;207;2009-10-26;privada;2016-01-11 19:36:25.007;2016-01-11 19:36:25.007;NULL
561;207;2009-10-26;privada;2016-01-11 19:46:29.337;2016-01-11 19:46:29.337;2020-03-12
562;207;2009-10-26;publica;2016-01-11 20:01:26.637;2016-01-11 20:01:26.637;2019-10-24
563;207;2009-10-26;privada;2016-01-11 20:06:44.697;2016-01-11 20:06:44.697;2020-03-11
564;207;2009-10-26;privada;2016-01-11 20:09:05.917;2016-01-11 20:09:05.917;NULL
565;207;2009-10-26;privada;2016-01-11 20:09:36.230;2016-01-11 20:09:36.230;2019-11-06
566;207;2009-10-26;privada;2016-01-11 20:10:31.010;2016-01-11 20:10:31.010;2019-12-03
567;207;2009-10-26;privada;2016-01-11 20:16:49.917;2016-01-11 20:16:49.917;NULL
568;207;2009-10-26;privada;2016-01-11 20:22:44.687;2016-01-11 20:22:44.687;2020-02-24
569;207;2009-10-26;privada;2016-01-11 20:30:07.717;2016-01-11 20:30:07.717;2020-03-12
573;207;2009-10-26;privada;2016-01-11 20:37:19.357;2016-01-11 20:37:19.357;2020-03-12
574;207;2009-10-26;privada;2016-01-11 20:45:19.217;2016-01-11 20:45:19.217;2020-02-24
575;207;2009-10-26;privada;2016-01-11 20:45:24.327;2016-01-11 20:45:24.327;NULL
576;207;2009-10-26;privada;2016-01-11 20:51:09.237;2016-01-11 20:51:09.237;NULL
577;207;2009-10-26;privada;2016-01-11 20:54:42.797;2016-01-11 20:54:42.797;2020-03-11
578;207;2009-10-26;privada;2016-01-11 21:01:28.047;2016-01-11 21:01:28.047;2020-03-08
579;207;2009-10-26;privada;2016-01-11 21:08:00.253;2016-01-11 21:08:00.253;NULL
580;207;2009-10-26;privada;2016-01-11 21:08:29.410;2016-01-11 21:08:29.410;2020-03-04
581;207;2009-10-26;privada;2016-01-11 21:34:16.630;2016-01-11 21:34:16.630;2020-05-21
582;207;2009-10-26;privada;2016-01-11 21:44:11.960;2016-01-11 21:44:11.960;2020-03-09
583;207;2009-10-26;privada;2016-01-12 14:21:36.403;2016-01-12 14:21:36.403;2020-03-09
584;207;2009-10-26;privada;2016-01-12 14:22:30.857;2016-01-12 14:22:30.857;NULL
585;207;2009-10-26;privada;2016-01-12 14:38:53.687;2016-01-12 14:38:53.687;2019-11-10
586;207;2009-10-26;privada;2016-01-12 14:48:22.953;2016-01-12 14:48:22.953;NULL
587;207;2009-10-26;privada;2016-01-12 14:50:20.717;2016-01-12 14:50:20.717;2020-08-12
588;207;2009-10-26;privada;2016-01-12 15:42:49.880;2016-01-12 15:42:49.880;2020-03-09
589;207;2009-10-26;privada;2016-01-12 15:51:56.367;2016-01-12 15:51:56.367;2020-04-17
590;207;2009-10-26;privada;2016-01-12 16:08:22.710;2016-01-12 16:08:22.710;NULL
591;207;2009-10-26;privada;2016-01-12 16:11:04.477;2016-01-12 16:11:04.477;NULL
592;207;2009-10-26;privada;2016-01-12 16:23:41.650;2016-01-12 16:23:41.650;NULL
593;207;2009-10-26;privada;2016-01-12 16:23:42.807;2016-01-12 16:23:42.807;NULL
595;271;2009-10-26;privada;2016-01-12 16:27:17.837;2016-01-12 16:27:17.837;2019-11-26
596;207;2009-10-26;privada;2016-01-12 16:29:15.603;2016-01-12 16:29:15.603;NULL
597;207;2009-10-26;privada;2016-01-12 16:33:19.527;2016-01-12 16:33:19.527;NULL
598;207;2009-10-26;privada;2016-01-12 16:36:31.120;2016-01-12 16:36:31.120;2019-11-24
599;207;2009-10-26;privada;2016-01-12 16:37:51.590;2016-01-12 16:37:51.590;NULL
600;207;2009-10-26;privada;2016-01-12 16:41:45.730;2016-01-12 16:41:45.730;2019-11-26
601;207;2009-10-26;privada;2016-01-12 16:45:58.497;2016-01-12 16:45:58.497;2020-03-19
602;207;2009-10-26;privada;2016-01-12 16:51:21.247;2016-01-12 16:51:21.247;2020-01-21
603;207;2009-10-26;privada;2016-01-12 16:57:01.420;2016-01-12 16:57:01.420;NULL
604;207;2009-10-26;privada;2016-01-12 16:58:46.437;2016-01-12 16:58:46.437;2019-11-09
605;207;2009-10-26;privada;2016-01-12 17:02:05.310;2016-01-12 17:02:05.310;NULL
606;207;2009-10-26;privada;2016-01-12 17:04:57.610;2016-01-12 17:04:57.610;NULL
607;207;2009-10-26;privada;2016-01-12 17:07:33.813;2016-01-12 17:07:33.813;NULL
608;207;2009-10-26;privada;2016-01-12 17:09:34.610;2016-01-12 17:09:34.610;2020-03-09
609;236;2009-12-04;privada;2016-01-12 17:11:56.577;2016-01-12 17:11:56.577;2020-02-22
610;207;2009-10-26;privada;2016-01-12 17:12:12.890;2016-01-12 17:12:12.890;NULL
611;207;2009-10-26;privada;2016-01-12 17:15:39.640;2016-01-12 17:15:39.640;NULL
612;207;2009-10-26;privada;2016-01-12 17:18:06.470;2016-01-12 17:18:06.470;NULL
613;236;2009-12-04;privada;2016-01-12 17:21:36.033;2016-01-12 17:21:36.033;NULL
614;207;2009-10-26;privada;2016-01-12 17:36:53.753;2016-01-12 17:36:53.753;2019-03-18
616;207;2009-10-26;privada;2016-01-12 17:51:11.583;2016-01-12 17:51:11.583;NULL
617;207;2009-10-26;privada;2016-01-12 19:39:54.377;2016-01-12 19:39:54.377;2020-03-09
618;207;2009-10-26;privada;2016-01-12 19:47:55.627;2016-01-12 19:47:55.627;2020-03-16
619;207;2009-10-26;privada;2016-01-12 19:48:26.347;2016-01-12 19:48:26.347;NULL
620;236;2009-12-04;privada;2016-01-12 19:51:46.847;2016-01-12 19:51:46.847;2020-05-28
621;207;2009-10-26;privada;2016-01-12 19:54:09.927;2016-01-12 19:54:09.927;2020-03-10
622;207;2009-10-26;privada;2016-01-12 19:55:36.473;2016-01-12 19:55:36.473;NULL
623;207;2009-10-26;publica;2016-01-12 20:03:25.787;2016-01-12 20:03:25.787;NULL
624;207;2009-10-26;privada;2016-01-12 20:09:44.723;2016-01-12 20:09:44.723;2020-03-10
625;207;2009-10-26;privada;2016-01-12 20:13:26.223;2016-01-12 20:13:26.223;NULL
626;207;2009-10-26;privada;2016-01-12 20:17:46.490;2016-01-12 20:17:46.490;NULL
627;236;2009-12-04;privada;2016-01-12 21:22:48.530;2016-01-12 21:22:48.530;NULL
628;236;2009-12-04;privada;2016-01-12 21:40:18.843;2016-01-12 21:40:18.843;NULL
629;236;2009-12-04;privada;2016-01-12 21:50:12.423;2016-01-12 21:50:12.423;NULL
631;236;2009-12-04;privada;2016-01-13 14:42:27.247;2016-01-13 14:42:27.247;2020-02-26
632;207;2009-10-26;privada;2016-01-13 14:48:47.167;2016-01-13 14:48:47.167;NULL
634;236;2009-12-04;privada;2016-01-13 14:51:35.200;2016-01-13 14:51:35.200;2020-02-26
635;207;2009-10-26;privada;2016-01-13 14:53:09.527;2016-01-13 14:53:09.527;NULL
639;236;2009-12-04;publica;2016-01-13 14:56:24.363;2016-01-13 14:56:24.363;2020-02-26
641;236;2009-12-04;privada;2016-01-13 15:02:57.893;2016-01-13 15:02:57.893;NULL
642;236;2009-12-04;privada;2016-01-13 15:37:43.490;2016-01-13 15:37:43.490;NULL
643;236;2009-12-04;privada;2016-01-13 15:53:43.213;2016-01-13 15:53:43.213;2020-02-26
644;236;2009-12-04;privada;2016-01-13 16:03:08.387;2016-01-13 16:03:08.387;2020-02-19
647;236;2009-12-04;privada;2016-01-13 16:56:35.533;2016-01-13 16:56:35.533;NULL
648;236;2009-12-04;privada;2016-01-13 16:59:29.907;2016-01-13 16:59:29.907;NULL
649;236;2009-12-04;privada;2016-01-13 17:02:01.923;2016-01-13 17:02:01.923;2020-03-17
650;236;2009-12-04;privada;2016-01-13 17:13:00.113;2016-01-13 17:13:00.113;2020-02-17
651;236;2009-12-04;privada;2016-01-13 17:22:52.520;2016-01-13 17:22:52.520;2020-02-24
652;236;2009-12-04;privada;2016-01-13 17:33:33.397;2016-01-13 17:33:33.397;2020-02-03
653;236;2009-12-04;privada;2016-01-13 17:38:47.037;2016-01-13 17:38:47.037;NULL
654;236;2009-12-04;privada;2016-01-13 17:40:35.490;2016-01-13 17:40:35.490;NULL
655;236;2009-12-04;privada;2016-01-13 19:06:00.860;2016-01-13 19:06:00.860;NULL
656;236;2009-12-04;privada;2016-01-13 19:07:06.423;2016-01-13 19:07:06.423;NULL
657;236;2009-12-04;privada;2016-01-13 19:14:29.830;2016-01-13 19:14:29.830;2020-04-25
658;236;2009-12-04;privada;2016-01-13 19:16:20.267;2016-01-13 19:16:20.267;2019-12-02
659;236;2009-12-04;privada;2016-01-13 19:22:41.567;2016-01-13 19:22:41.567;2020-02-18
661;236;2009-12-04;privada;2016-01-13 19:30:30.020;2016-01-13 19:30:30.020;NULL
662;236;2009-12-04;privada;2016-01-13 19:37:08.940;2016-01-13 19:37:08.940;NULL
663;236;2009-12-04;privada;2016-01-13 19:51:04.130;2016-01-13 19:51:04.130;NULL
664;236;2009-12-04;privada;2016-01-13 19:57:02.727;2016-01-13 19:57:02.727;2020-04-13
665;236;2009-12-04;privada;2016-01-13 19:59:19.600;2016-01-13 19:59:19.600;NULL
666;236;2009-12-04;privada;2016-01-13 19:59:54.927;2016-01-13 19:59:54.927;NULL
667;236;2009-12-04;privada;2016-01-13 20:06:46.757;2016-01-13 20:06:46.757;2019-12-11
668;236;2009-12-04;privada;2016-01-13 20:10:24.557;2016-01-13 20:10:24.557;NULL
669;236;2009-12-04;privada;2016-01-13 20:10:29.197;2016-01-13 20:10:29.197;NULL
670;236;2009-12-04;privada;2016-01-13 20:13:25.227;2016-01-13 20:13:25.227;NULL
671;236;2009-12-04;privada;2016-01-13 20:16:07.290;2016-01-13 20:16:07.290;2020-09-13
672;236;2009-12-04;privada;2016-01-13 20:19:40.307;2016-01-13 20:19:40.307;2020-03-26
