id;rango_numeracion;numero_asignado;tipo_recurso_numerico;nota;created_at;updated_at
1298;NULL;NULL;NULL;NULL;2016-02-01 21:51:03.093;2016-02-01 21:51:03.093
1299;NULL;NULL;NULL;NULL;2016-02-02 14:05:42.677;2016-02-02 14:05:42.677
1300;NULL;NULL;NULL;NULL;2016-02-02 14:35:39.710;2016-02-02 14:35:39.710
1301;NULL;NULL;NULL;NULL;2016-02-02 14:40:56.867;2016-02-02 14:40:56.867
1302;NULL;NULL;NULL;NULL;2016-02-02 14:45:29.620;2016-02-02 14:45:29.620
1303;NULL;NULL;NULL;NULL;2016-02-02 14:58:18.590;2016-02-02 14:58:18.590
1304;NULL;NULL;NULL;NULL;2016-02-02 15:04:01.887;2016-02-02 15:04:01.887
1305;NULL;NULL;NULL;NULL;2016-02-02 15:40:36.860;2016-02-02 15:40:36.860
1323;NULL;NULL;NULL;NULL;2016-02-04 14:26:43.233;2016-02-04 14:26:43.233
1325;NULL;NULL;NULL;NULL;2016-02-04 14:27:35.937;2016-02-04 14:27:35.937
1333;NULL;NULL;NULL;NULL;2016-02-04 16:05:24.463;2016-02-04 16:05:24.463
1334;NULL;NULL;NULL;NULL;2016-02-04 16:05:51.137;2016-02-04 16:05:51.137
1339;NULL;NULL;NULL;NULL;2016-02-04 16:38:58.157;2016-02-04 16:38:58.157
1340;NULL;NULL;NULL;NULL;2016-02-04 16:47:47.797;2016-02-04 16:47:47.797
1341;NULL;NULL;NULL;NULL;2016-02-04 16:49:50.470;2016-02-04 16:49:50.470
1342;NULL;NULL;NULL;NULL;2016-02-04 16:51:48.953;2016-02-04 16:51:48.953
1343;NULL;NULL;NULL;NULL;2016-02-04 16:53:14.533;2016-02-04 16:53:14.533
1349;NULL;NULL;NULL;NULL;2016-02-04 17:11:34.080;2016-02-04 17:11:34.080
1350;NULL;NULL;NULL;NULL;2016-02-04 17:11:36.283;2016-02-04 17:11:36.283
1351;NULL;NULL;NULL;NULL;2016-02-04 17:11:38.377;2016-02-04 17:11:38.377
1352;NULL;NULL;NULL;NULL;2016-02-04 17:11:41.003;2016-02-04 17:11:41.003
1353;NULL;NULL;NULL;NULL;2016-02-04 17:11:45.143;2016-02-04 17:11:45.143
1370;NULL;NULL;NULL;NULL;2016-02-05 14:07:44.307;2016-02-05 14:07:44.307
1379;NULL;NULL;NULL;NULL;2016-02-05 17:20:35.313;2016-02-05 17:20:35.313
1382;NULL;NULL;NULL;NULL;2016-02-08 14:29:36.610;2016-02-08 14:29:36.610
1383;NULL;NULL;NULL;NULL;2016-02-08 14:34:39.687;2016-02-08 14:34:39.687
1384;NULL;NULL;NULL;NULL;2016-02-08 14:47:46.470;2016-02-08 14:47:46.470
1385;NULL;NULL;NULL;NULL;2016-02-08 14:56:44.817;2016-02-08 14:56:44.817
1386;NULL;NULL;NULL;NULL;2016-02-08 14:58:22.580;2016-02-08 14:58:22.580
1387;NULL;NULL;NULL;NULL;2016-02-08 14:59:59.113;2016-02-08 14:59:59.113
1388;NULL;NULL;NULL;NULL;2016-02-08 15:01:22.347;2016-02-08 15:01:22.347
1389;NULL;NULL;NULL;NULL;2016-02-08 15:02:12.770;2016-02-08 15:02:12.770
1390;NULL;NULL;NULL;NULL;2016-02-08 15:03:01.393;2016-02-08 15:03:01.393
1391;NULL;NULL;NULL;NULL;2016-02-08 15:05:37.613;2016-02-08 15:05:37.613
1392;NULL;NULL;NULL;NULL;2016-02-08 15:07:24.613;2016-02-08 15:07:24.613
1395;NULL;NULL;NULL;NULL;2016-02-08 15:11:44.050;2016-02-08 15:11:44.050
1396;NULL;NULL;NULL;NULL;2016-02-08 15:34:45.647;2016-02-08 15:34:45.647
1397;NULL;NULL;NULL;NULL;2016-02-08 15:35:48.523;2016-02-08 15:35:48.523
1398;NULL;NULL;NULL;NULL;2016-02-08 15:36:49.947;2016-02-08 15:36:49.947
1399;NULL;NULL;NULL;NULL;2016-02-08 15:38:18.417;2016-02-08 15:38:18.417
1400;NULL;NULL;NULL;NULL;2016-02-08 15:38:45.040;2016-02-08 15:38:45.040
1401;NULL;NULL;NULL;NULL;2016-02-08 15:39:44.540;2016-02-08 15:39:44.540
1402;NULL;NULL;NULL;NULL;2016-02-08 15:40:47.837;2016-02-08 15:40:47.837
1403;NULL;NULL;NULL;NULL;2016-02-08 15:41:22.820;2016-02-08 15:41:22.820
1404;NULL;NULL;NULL;NULL;2016-02-08 15:42:21.307;2016-02-08 15:42:21.307
1405;NULL;NULL;NULL;NULL;2016-02-08 15:43:04.540;2016-02-08 15:43:04.540
1406;NULL;NULL;NULL;NULL;2016-02-08 15:44:28.757;2016-02-08 15:44:28.757
1407;NULL;NULL;NULL;NULL;2016-02-08 15:47:27.603;2016-02-08 15:47:27.603
1408;NULL;NULL;NULL;NULL;2016-02-08 15:48:34.867;2016-02-08 15:48:34.867
1409;NULL;NULL;NULL;NULL;2016-02-08 15:52:44.807;2016-02-08 15:52:44.807
1410;NULL;NULL;NULL;NULL;2016-02-08 15:53:53.777;2016-02-08 15:53:53.777
1411;NULL;NULL;NULL;NULL;2016-02-11 16:16:48.267;2016-02-11 16:16:48.267
1412;NULL;NULL;NULL;NULL;2016-02-11 16:17:34.737;2016-02-11 16:17:34.737
1413;NULL;NULL;NULL;NULL;2016-02-11 16:18:32.790;2016-02-11 16:18:32.790
1414;NULL;NULL;NULL;NULL;2016-02-11 16:19:46.040;2016-02-11 16:19:46.040
1415;NULL;NULL;NULL;NULL;2016-02-11 16:19:50.383;2016-02-11 16:19:50.383
1416;NULL;NULL;NULL;NULL;2016-02-11 16:20:33.007;2016-02-11 16:20:33.007
1417;NULL;NULL;NULL;NULL;2016-02-11 16:20:46.587;2016-02-11 16:20:46.587
1418;NULL;NULL;NULL;NULL;2016-02-11 16:21:26.743;2016-02-11 16:21:26.743
1419;NULL;NULL;NULL;NULL;2016-02-11 16:21:58.133;2016-02-11 16:21:58.133
1420;NULL;NULL;NULL;NULL;2016-02-11 16:22:14.117;2016-02-11 16:22:14.117
1421;NULL;NULL;NULL;NULL;2016-02-11 16:23:35.367;2016-02-11 16:23:35.367
1422;NULL;NULL;NULL;NULL;2016-02-11 16:24:10.977;2016-02-11 16:24:10.977
1423;NULL;NULL;NULL;NULL;2016-02-11 16:25:15.447;2016-02-11 16:25:15.447
1424;NULL;NULL;NULL;NULL;2016-02-11 16:25:58.603;2016-02-11 16:25:58.603
1425;NULL;NULL;NULL;NULL;2016-02-11 16:28:22.540;2016-02-11 16:28:22.540
1426;NULL;NULL;NULL;NULL;2016-02-11 16:29:27.323;2016-02-11 16:29:27.323
1427;NULL;NULL;NULL;NULL;2016-02-11 16:30:48.040;2016-02-11 16:30:48.040
1428;NULL;NULL;NULL;NULL;2016-02-11 16:31:37.040;2016-02-11 16:31:37.040
1429;NULL;NULL;NULL;NULL;2016-02-11 16:32:22.150;2016-02-11 16:32:22.150
1430;NULL;NULL;NULL;NULL;2016-02-11 16:32:27.633;2016-02-11 16:32:27.633
1431;NULL;NULL;NULL;NULL;2016-02-11 16:32:58.353;2016-02-11 16:32:58.353
1432;NULL;NULL;NULL;NULL;2016-02-11 16:33:42.120;2016-02-11 16:33:42.120
1433;NULL;NULL;NULL;NULL;2016-02-11 16:34:46.057;2016-02-11 16:34:46.057
1434;NULL;NULL;NULL;NULL;2016-02-11 16:34:50.933;2016-02-11 16:34:50.933
1435;NULL;NULL;NULL;NULL;2016-02-11 16:37:38.420;2016-02-11 16:37:38.420
1436;NULL;NULL;NULL;NULL;2016-02-11 16:39:46.823;2016-02-11 16:39:46.823
1437;NULL;NULL;NULL;NULL;2016-02-11 16:41:07.677;2016-02-11 16:41:07.677
1438;NULL;NULL;NULL;NULL;2016-02-11 16:42:27.460;2016-02-11 16:42:27.460
1439;NULL;NULL;NULL;NULL;2016-02-11 16:43:47.710;2016-02-11 16:43:47.710
1440;NULL;NULL;NULL;NULL;2016-02-11 16:44:59.273;2016-02-11 16:44:59.273
1441;NULL;NULL;NULL;NULL;2016-02-11 16:46:09.630;2016-02-11 16:46:09.630
1442;NULL;NULL;NULL;NULL;2016-02-11 16:47:07.677;2016-02-11 16:47:07.677
1443;NULL;NULL;NULL;NULL;2016-02-12 14:20:31.717;2016-02-12 14:20:31.717
1444;NULL;NULL;NULL;NULL;2016-02-12 17:08:17.007;2016-02-12 17:08:17.007
1445;NULL;NULL;NULL;NULL;2016-02-12 17:09:10.603;2016-02-12 17:09:10.603
1446;NULL;NULL;NULL;NULL;2016-02-16 17:59:48.273;2016-02-16 17:59:48.273
1447;NULL;NULL;NULL;NULL;2016-02-16 21:15:16.123;2016-02-16 21:15:16.123
1448;NULL;NULL;NULL;NULL;2016-02-16 21:50:51.143;2016-02-16 21:50:51.143
1449;NULL;NULL;NULL;NULL;2016-02-17 15:55:32.817;2016-02-17 15:55:32.817
1450;NULL;NULL;NULL;NULL;2016-02-17 15:55:56.117;2016-02-17 15:55:56.117
1465;NULL;NULL;NULL;NULL;2016-02-18 21:23:03.407;2016-02-18 21:23:03.407
1467;NULL;NULL;NULL;NULL;2016-02-18 21:33:13.223;2016-02-18 21:33:13.223
1468;NULL;NULL;NULL;NULL;2016-02-18 21:38:47.487;2016-02-18 21:38:47.487
1469;NULL;NULL;NULL;NULL;2016-02-22 17:50:44.577;2016-02-22 17:50:44.577
1470;NULL;NULL;NULL;NULL;2016-02-22 18:01:11.607;2016-02-22 18:01:11.607
1472;NULL;NULL;NULL;NULL;2016-03-31 16:05:13.790;2016-03-31 16:05:13.790
1473;NULL;NULL;NULL;NULL;2016-03-31 16:15:17.057;2016-03-31 16:15:17.057
1474;NULL;NULL;NULL;NULL;2016-03-31 16:16:57.667;2016-03-31 16:16:57.667
1475;NULL;NULL;NULL;NULL;2016-03-31 20:17:18.210;2016-03-31 20:17:18.210
1476;NULL;NULL;NULL;NULL;2016-04-01 15:16:56.720;2016-04-01 15:16:56.720
1477;NULL;NULL;NULL;NULL;2016-04-01 17:47:45.877;2016-04-01 17:47:45.877
1478;NULL;NULL;NULL;NULL;2016-04-01 18:11:47.240;2016-04-01 18:11:47.240
1479;NULL;NULL;NULL;NULL;2016-04-01 20:54:08.493;2016-04-01 20:54:08.493
